%time,field.data
1544451428997211933,4.94065645841e-324
1544451429047626972,4.94065645841e-324
1544451429098626614,4.94065645841e-324
1544451429149722099,4.94065645841e-324
1544451429202503204,4.94065645841e-324
1544451429250221252,4.94065645841e-324
1544451429301908731,4.94065645841e-324
1544451429354583263,4.94065645841e-324
1544451429403299570,4.94065645841e-324
1544451429456543446,4.94065645841e-324
1544451429509193897,4.94065645841e-324
1544451429557734013,4.94065645841e-324
1544451429607931614,4.94065645841e-324
1544451429660726070,4.94065645841e-324
1544451429712683201,4.94065645841e-324
1544451429761880398,4.94065645841e-324
1544451429812045097,4.94065645841e-324
1544451429862429857,4.94065645841e-324
1544451429913208008,4.94065645841e-324
1544451429964050770,4.94065645841e-324
1544451430014667511,4.94065645841e-324
1544451430064782858,4.94065645841e-324
1544451430116866827,4.94065645841e-324
1544451430168294430,4.94065645841e-324
1544451430219079971,4.94065645841e-324
1544451430269910574,4.94065645841e-324
1544451430320317268,4.94065645841e-324
1544451430370578051,4.94065645841e-324
1544451430421075106,4.94065645841e-324
1544451430471208096,4.94065645841e-324
1544451430522061825,4.94065645841e-324
1544451430576107264,4.94065645841e-324
1544451430626304150,0.0
1544451430676386595,0.0
1544451430727421284,0.0
1544451430781847000,0.0
1544451430834257364,0.0
1544451430885658264,0.0
1544451430935721397,0.0
1544451430987438917,0.0
1544451431037673950,0.0
1544451431088024139,0.0
1544451431138090134,0.0
1544451431195890665,0.0
1544451431241891146,0.0
1544451431292964458,0.0
1544451431342980146,0.0
1544451431393780947,0.0
1544451431444492340,0.0
1544451431494876385,0.0
1544451431544816732,0.0
1544451431595544338,0.0
1544451431645803690,0.0
1544451431696966171,0.0
1544451431747745991,0.0
1544451431799063683,0.0
1544451431855727434,0.0
1544451431905806065,0.0
1544451431956583261,0.0
1544451432007464647,0.0
1544451432057730198,0.0
1544451432109341383,0.0
1544451432159817457,0.0
1544451432210544348,0.0
1544451432261351347,0.0
1544451432312228203,0.0
1544451432362984419,0.0
1544451432413877964,0.0
1544451432464658976,0.0
1544451432519484520,0.0
1544451432571262360,0.0
1544451432621589184,0.0
1544451432671987057,0.0
1544451432722602367,0.0
1544451432773489237,0.0
1544451432825293303,0.0
1544451432875977993,0.0
1544451432926036835,0.0
1544451432977753878,0.0
1544451433030363321,0.0
1544451433081141710,0.0
1544451433131221294,0.0
1544451433181345224,0.0
1544451433231397867,0.0
1544451433283537865,0.0
1544451433334374905,0.0
1544451433387832403,0.0
1544451433439192295,0.0
1544451433488748550,0.0
1544451433539461613,0.0
1544451433594612122,0.0
1544451433640952826,0.0
1544451433693372250,0.0
1544451433743741274,0.0
1544451433794721365,0.0
1544451433845354795,0.0
1544451433895522118,0.0
1544451433946046829,0.0
1544451433996441364,0.0
1544451434052005291,0.0
1544451434100684643,0.0
1544451434151232958,0.0
1544451434202093363,0.0
1544451434252948523,0.0
1544451434303611040,0.0
1544451434358187437,0.0
1544451434406256676,0.0
1544451434462973595,0.0
1544451434519806623,0.0
1544451434564477205,0.0
1544451434615071535,0.0
1544451434667103052,0.0
1544451434717358351,0.0
1544451434767865658,0.0
1544451434817990065,0.0
1544451434868377447,0.0
1544451434919286251,0.0
1544451434969333172,0.0
1544451435023208618,0.0
1544451435072234154,0.0
1544451435122610569,0.0
1544451435173314571,0.0
1544451435224177837,0.0
1544451435280495882,0.0
1544451435325742483,0.0
1544451435375823498,0.0
1544451435426569462,0.0
1544451435477323294,0.0
1544451435529447317,0.0
1544451435579823971,0.0
1544451435630795240,0.0
1544451435681519985,0.0
1544451435733063459,0.0
1544451435783079386,0.0
1544451435834860563,0.0
1544451435886559486,0.0
1544451435937531710,0.0
1544451435987826824,0.0
1544451436039541721,0.0
1544451436089737892,0.0
1544451436144762993,0.0
1544451436194485664,0.0
1544451436244674921,0.0
1544451436296084881,0.0
1544451436346915722,0.0
1544451436397668123,0.0
1544451436448459387,0.0
1544451436499330044,0.0
1544451436551089048,0.0
1544451436601271629,0.0
1544451436651484489,0.0
1544451436701638937,0.0
1544451436752304554,0.0
1544451436804150105,0.0
1544451436854996920,0.0
1544451436905164480,0.0
1544451436955923796,0.0
1544451437006422997,0.0
1544451437057207823,0.0
1544451437108574152,0.0
1544451437158781290,0.0
1544451437209536552,0.0
1544451437260500908,0.0
1544451437312220812,0.0
1544451437364326000,0.0
1544451437414987087,0.0
1544451437465091467,0.0
1544451437525192022,0.0
1544451437576131344,0.0
1544451437626503468,0.0
1544451437676754475,0.0
1544451437727159262,0.0
1544451437777922153,0.0
1544451437828579903,0.0
1544451437879029274,0.0
1544451437931848764,0.0
1544451437980669498,0.0
1544451438031432390,0.0
1544451438092138529,0.0
1544451438136193991,0.0
1544451438186390638,0.0
1544451438236510515,0.0
1544451438288274765,0.0
1544451438338275433,0.0
1544451438390396357,0.0
1544451438440807581,0.0
1544451438491723299,0.0
1544451438542718410,0.0
1544451438593187571,0.0
1544451438643292665,0.0
1544451438694028139,0.0
1544451438744753361,0.0
1544451438799694777,0.0
1544451438845484972,0.0
1544451438896229744,0.0
1544451438946667671,0.0
1544451438998576641,0.0
1544451439057522297,0.0
1544451439108163834,0.0
1544451439159138680,0.0
1544451439210818291,0.0
1544451439263458252,0.0
1544451439314273119,0.0
1544451439364269972,0.0
1544451439415050745,0.0
1544451439465111732,0.0
1544451439515702009,0.0
1544451439566458702,0.0
1544451439618667364,0.0
1544451439675430536,0.0
1544451439724783897,0.0
1544451439776584148,0.0
1544451439827394724,0.0
1544451439879441500,0.0
1544451439930557251,0.0
1544451439981490374,0.0
1544451440031690359,0.0
1544451440082603931,0.0
1544451440133256912,0.0
1544451440185132027,0.0
1544451440235406876,0.0
1544451440285923719,0.0
1544451440338926554,0.0
1544451440387038708,0.0
1544451440439866066,0.0
1544451440490016937,0.0
1544451440544067383,0.0
1544451440594167471,0.0
1544451440644419432,0.0
1544451440694585085,0.0
1544451440744964123,0.0
1544451440795721531,0.0
1544451440847332716,0.0
1544451440899362564,0.0
1544451440953955412,0.0
1544451441001662731,0.0
1544451441052389383,0.0
1544451441103463650,0.0
1544451441155318260,0.0
1544451441206243515,0.0
1544451441257994413,0.0
1544451441308910131,0.0
1544451441362304688,0.0
1544451441412419081,0.0
1544451441463126659,0.0
1544451441513641357,0.0
1544451441563868284,0.0
1544451441615700483,0.0
1544451441664417744,0.0
1544451441717566967,0.0
1544451441767888308,0.0
1544451441824174404,0.0
1544451441875539541,0.0
1544451441925610781,0.0
1544451441975929737,0.0
1544451442025983810,0.0
1544451442076738119,0.0
1544451442128170490,0.0
1544451442177501440,0.0
1544451442228323221,0.0
1544451442279161215,0.0
1544451442329959631,0.0
1544451442380696535,0.0
1544451442431523561,0.0
1544451442483445406,0.0
1544451442533193588,0.0
1544451442584043026,0.0
1544451442634799719,0.0
1544451442686516285,0.0
1544451442737270594,0.0
1544451442788144350,0.0
1544451442841027021,0.0
1544451442891717196,0.0
1544451442943486452,0.0
1544451442994524717,0.0
1544451443045170069,0.0
1544451443096015453,0.0
1544451443147184372,0.0
1544451443197535992,0.0
1544451443248366833,0.0
1544451443299187899,0.0
1544451443350096464,0.0
1544451443400751829,0.0
1544451443451620817,0.0
1544451443503821611,0.0
1544451443554223061,0.0
1544451443605044842,0.0
1544451443655898333,0.0
1544451443707330465,0.0
1544451443762582302,0.0
1544451443812333107,0.0
1544451443862950563,0.0
1544451443916100979,0.0
1544451443964670181,0.0
1544451444015264988,0.0
1544451444066985846,0.0
1544451444117189646,0.0
1544451444167938948,0.0
1544451444217662573,0.0
1544451444268281221,0.0
1544451444318367481,0.0
1544451444368410587,0.0
1544451444422542095,0.0
1544451444475371838,0.0
1544451444523659945,0.0
1544451444574421883,0.0
1544451444625173092,0.0
1544451444676025867,0.0
1544451444726500273,0.0
1544451444777649164,0.0
1544451444833484173,0.0
1544451444884137869,0.0
1544451444934349775,0.0
1544451444984815836,0.0
1544451445035088539,0.0
1544451445085414410,0.0
1544451445138751030,0.0
1544451445189205170,0.0
1544451445239368677,0.0
1544451445291130304,0.0
1544451445354240656,0.0
1544451445405025244,0.0
1544451445462447166,0.0
1544451445507900715,0.0
1544451445559162617,0.0
1544451445609267235,0.0
1544451445660906553,0.0
