%time,field.data
1544451124005049229,4.94065645841e-324
1544451124057625771,4.94065645841e-324
1544451124108020306,4.94065645841e-324
1544451124160157442,4.94065645841e-324
1544451124211691618,4.94065645841e-324
1544451124261805058,4.94065645841e-324
1544451124312894583,4.94065645841e-324
1544451124363611937,4.94065645841e-324
1544451124414503574,4.94065645841e-324
1544451124465198517,4.94065645841e-324
1544451124516707897,4.94065645841e-324
1544451124566849709,4.94065645841e-324
1544451124617649555,4.94065645841e-324
1544451124668860912,4.94065645841e-324
1544451124719017506,0.0
1544451124770409107,0.0
1544451124820527554,0.0
1544451124870771646,0.0
1544451124921502829,0.0
1544451124973461866,0.0
1544451125024238825,0.0
1544451125074972391,0.0
1544451125125299931,0.0
1544451125178279161,0.0
1544451125232477665,0.0
1544451125283477783,0.0
1544451125333350897,0.0
1544451125383930206,0.0
1544451125434017181,0.0
1544451125484369040,0.0
1544451125538270950,0.0
1544451125589112282,0.0
1544451125643126011,0.0
1544451125690578461,0.0
1544451125741380453,0.0
1544451125792155266,0.0
1544451125842396975,0.0
1544451125892643213,0.0
1544451125943668842,0.0
1544451125994477272,0.0
1544451126047339678,0.0
1544451126095941305,0.0
1544451126146930218,0.0
1544451126200830936,0.0
1544451126251579285,0.0
1544451126303144693,0.0
1544451126353303194,0.0
1544451126403909206,0.0
1544451126454126120,0.0
1544451126504555941,0.0
1544451126555271149,0.0
1544451126608999968,0.0
1544451126657970905,0.0
1544451126709404230,0.0
1544451126759675264,0.0
1544451126809685469,0.0
1544451126863126516,0.0
1544451126910687685,0.0
1544451126960913658,0.0
1544451127012686491,0.0
1544451127064208269,0.0
1544451127117680550,0.0
1544451127165597200,0.0
1544451127215903044,0.0
1544451127267683506,0.0
1544451127319643974,0.0
1544451127374321699,0.0
1544451127424721718,0.0
1544451127475909710,0.0
1544451127526624441,0.0
1544451127577391863,0.0
1544451127628226042,0.0
1544451127679090261,0.0
1544451127729893923,0.0
1544451127780639648,0.0
1544451127830657959,0.0
1544451127881147623,0.0
1544451127931391239,0.0
1544451127982887983,0.0
1544451128033010244,0.0
1544451128083125830,0.0
1544451128135355949,0.0
1544451128186253786,0.0
1544451128236325979,0.0
1544451128286878347,0.0
1544451128337774038,0.0
1544451128390306711,0.0
1544451128438376188,0.0
1544451128489575148,0.0
1544451128541812181,0.0
1544451128592651606,0.0
1544451128646479130,0.0
1544451128697428703,0.0
1544451128747473001,0.0
1544451128797955036,0.0
1544451128848158598,0.0
1544451128898239851,0.0
1544451128950421333,0.0
1544451129004240036,0.0
1544451129054879904,0.0
1544451129105345726,0.0
1544451129155233383,0.0
1544451129205538273,0.0
1544451129256289005,0.0
1544451129307770729,0.0
1544451129361705780,0.0
1544451129410127878,0.0
1544451129461340666,0.0
1544451129510836363,0.0
1544451129566443205,0.0
1544451129612553596,0.0
1544451129662792206,0.0
1544451129713585377,0.0
1544451129764487267,0.0
1544451129815431356,0.0
1544451129865992785,0.0
1544451129916190624,0.0
1544451129967164755,0.0
1544451130017380238,0.0
1544451130069549322,0.0
1544451130119943142,0.0
1544451130170120955,0.0
1544451130221528530,0.0
1544451130273249865,0.0
1544451130324210644,0.0
1544451130374948978,0.0
1544451130425837040,0.0
1544451130477634668,0.0
1544451130527272940,0.0
1544451130577301502,0.0
1544451130628062725,0.0
1544451130681889296,0.0
1544451130732676029,0.0
1544451130782998562,0.0
1544451130834250450,0.0
1544451130885037422,0.0
1544451130935104370,0.0
1544451130985363722,0.0
1544451131035787582,0.0
1544451131087251186,0.0
1544451131138139009,0.0
1544451131188427687,0.0
1544451131239775896,0.0
1544451131290670872,0.0
1544451131341021776,0.0
1544451131391250610,0.0
1544451131441453218,0.0
1544451131491468191,0.0
1544451131545750856,0.0
1544451131599221706,0.0
1544451131647240400,0.0
1544451131698045015,0.0
1544451131748819828,0.0
1544451131801152706,0.0
1544451131853529215,0.0
1544451131904211283,0.0
1544451131957975864,0.0
1544451132006960392,0.0
1544451132057691574,0.0
1544451132107511044,0.0
1544451132158354282,0.0
1544451132209246159,0.0
1544451132259701967,0.0
1544451132309638739,0.0
1544451132361701488,0.0
1544451132411231279,0.0
1544451132462344646,0.0
1544451132512743235,0.0
1544451132564862967,0.0
1544451132615668297,0.0
1544451132665704250,0.0
1544451132721844912,0.0
1544451132772038937,0.0
1544451132822540045,0.0
1544451132872613430,0.0
1544451132923400640,0.0
1544451132974233866,0.0
1544451133025388956,0.0
1544451133075329781,0.0
1544451133125726700,0.0
1544451133176588774,0.0
1544451133230409622,0.0
1544451133278179407,0.0
1544451133328958750,0.0
1544451133379345894,0.0
1544451133431261539,0.0
1544451133480509758,0.0
1544451133530655384,0.0
1544451133581686258,0.0
1544451133631898403,0.0
1544451133691737413,0.0
1544451133735061169,0.0
1544451133785404444,0.0
1544451133836074829,0.0
1544451133889968634,0.0
1544451133940667391,0.0
1544451133991387606,0.0
1544451134041672945,0.0
1544451134091926575,0.0
1544451134142854691,0.0
1544451134194358587,0.0
1544451134246984243,0.0
1544451134297338486,0.0
1544451134348085880,0.0
1544451134401568174,0.0
1544451134451116562,0.0
1544451134503401518,0.0
1544451134555485964,0.0
1544451134606558561,0.0
1544451134658874035,0.0
1544451134709631681,0.0
1544451134760529757,0.0
1544451134813038826,0.0
1544451134863487482,0.0
1544451134917132139,0.0
1544451134970126867,0.0
1544451135021418333,0.0
1544451135073743582,0.0
1544451135124234200,0.0
1544451135174552917,0.0
1544451135225074530,0.0
1544451135284134626,0.0
1544451135328251600,0.0
1544451135379362106,0.0
1544451135429806948,0.0
1544451135480556011,0.0
1544451135532394409,0.0
1544451135583431482,0.0
1544451135634109259,0.0
1544451135685542107,0.0
1544451135738611937,0.0
1544451135786707878,0.0
1544451135839079380,0.0
1544451135888682604,0.0
1544451135939814806,0.0
1544451135990619421,0.0
1544451136043297291,0.0
1544451136094094515,0.0
1544451136144136190,0.0
1544451136194612980,0.0
1544451136245703220,0.0
1544451136296509266,0.0
1544451136348104715,0.0
1544451136398225069,0.0
1544451136449025393,0.0
1544451136501449108,0.0
1544451136552451372,0.0
1544451136604288816,0.0
1544451136657033443,0.0
1544451136705383301,0.0
1544451136755602360,0.0
1544451136806161404,0.0
1544451136857370138,0.0
1544451136908162594,0.0
1544451136958428144,0.0
1544451137010831118,0.0
1544451137060971260,0.0
1544451137111424208,0.0
1544451137161868095,0.0
1544451137212153435,0.0
1544451137264452934,0.0
1544451137313777208,0.0
1544451137363949537,0.0
1544451137414064407,0.0
1544451137466020584,0.0
1544451137516062975,0.0
1544451137566711426,0.0
1544451137618670702,0.0
1544451137670361996,0.0
1544451137721190929,0.0
1544451137771610022,0.0
1544451137822384596,0.0
1544451137872608900,0.0
1544451137924861431,0.0
1544451137974904776,0.0
1544451138025426388,0.0
1544451138077221155,0.0
1544451138125653267,0.0
1544451138177785158,0.0
1544451138227298737,0.0
1544451138277529955,0.0
1544451138327995300,0.0
1544451138380455971,0.0
1544451138430597544,0.0
1544451138480844498,0.0
1544451138531694412,0.0
1544451138581098080,0.0
1544451138631869555,0.0
1544451138682621479,0.0
1544451138733489752,0.0
1544451138783648252,0.0
1544451138835139990,0.0
1544451138890169382,0.0
1544451138938731432,0.0
1544451138989612103,0.0
1544451139040324688,0.0
1544451139091120005,0.0
1544451139141944170,0.0
1544451139192772150,0.0
1544451139243011475,0.0
1544451139296683788,0.0
1544451139343996048,0.0
1544451139395027161,0.0
1544451139449883699,0.0
1544451139499740601,0.0
1544451139550388575,0.0
1544451139601175785,0.0
1544451139652062893,0.0
1544451139702853441,0.0
1544451139753618240,0.0
1544451139804416656,0.0
1544451139855520248,0.0
1544451139906200647,0.0
1544451139958540916,0.0
1544451140009061575,0.0
1544451140058991909,0.0
1544451140113248825,0.0
1544451140164985418,0.0
1544451140214190722,0.0
1544451140264738798,0.0
1544451140314916134,0.0
1544451140365165234,0.0
1544451140416118383,0.0
1544451140466484070,0.0
1544451140518011093,0.0
1544451140570363522,0.0
1544451140623353958,0.0
1544451140673543930,0.0
1544451140724004745,0.0
1544451140776469707,0.0
1544451140825533628,0.0
1544451140876458883,0.0
1544451140926712990,0.0
1544451140978404045,0.0
1544451141030705690,0.0
1544451141084096432,0.0
1544451141135005236,0.0
1544451141186200142,0.0
1544451141236810446,0.0
1544451141287030935,0.0
1544451141347528934,0.0
1544451141392706633,0.0
1544451141442877054,0.0
1544451141494633675,0.0
1544451141545850039,0.0
1544451141596556187,0.0
1544451141647414684,0.0
1544451141700543642,0.0
1544451141750981331,0.0
1544451141803212881,0.0
1544451141852563858,0.0
1544451141907112122,0.0
1544451141955089092,0.0
