%time,field.data
1544450319335517883,4.94065645841e-324
1544450319385807276,4.94065645841e-324
1544450319438175678,4.94065645841e-324
1544450319489076853,4.94065645841e-324
1544450319539843321,4.94065645841e-324
1544450319590570211,4.94065645841e-324
1544450319641522408,4.94065645841e-324
1544450319692542791,4.94065645841e-324
1544450319742958784,4.94065645841e-324
1544450319793871403,4.94065645841e-324
1544450319844705582,4.94065645841e-324
1544450319895660162,4.94065645841e-324
1544450319946382999,4.94065645841e-324
1544450319995998621,4.94065645841e-324
1544450320046016455,4.94065645841e-324
1544450320097443819,4.94065645841e-324
1544450320147499561,4.94065645841e-324
1544450320201411486,4.94065645841e-324
1544450320251997232,4.94065645841e-324
1544450320302896500,4.94065645841e-324
1544450320353698492,4.94065645841e-324
1544450320404870510,4.94065645841e-324
1544450320455296993,4.94065645841e-324
1544450320506107807,4.94065645841e-324
1544450320556941748,4.94065645841e-324
1544450320607695341,4.94065645841e-324
1544450320662000179,4.94065645841e-324
1544450320711336374,4.94065645841e-324
1544450320762193680,4.94065645841e-324
1544450320813028097,4.94065645841e-324
1544450320863888502,4.94065645841e-324
1544450320913918018,4.94065645841e-324
1544450320963983059,4.94065645841e-324
1544450321015218258,4.94065645841e-324
1544450321065439939,4.94065645841e-324
1544450321115919352,4.94065645841e-324
1544450321169451475,0.0
1544450321217421770,0.0
1544450321268290758,0.0
1544450321318364859,0.0
1544450321368981838,0.0
1544450321419871807,0.0
1544450321470559120,0.0
1544450321520639420,0.0
1544450321570797205,0.0
1544450321621361971,0.0
1544450321672027826,0.0
1544450321722692013,0.0
1544450321773391485,0.0
1544450321827019453,0.0
1544450321877785921,0.0
1544450321927828789,0.0
1544450321977883101,0.0
1544450322028505564,0.0
1544450322080332518,0.0
1544450322130358934,0.0
1544450322186644554,0.0
1544450322232328892,0.0
1544450322284527540,0.0
1544450322335044861,0.0
1544450322385892630,0.0
1544450322436001778,0.0
1544450322486931562,0.0
1544450322537102699,0.0
1544450322587624073,0.0
1544450322637596130,0.0
1544450322689506531,0.0
1544450322738966703,0.0
1544450322789696217,0.0
